Date,63440,74437,75169,79473,80600,83363,84306,84333,84449,84465,85015,85090,85092,85093,85104,85136,85167,86010,86090,86159,86208,87105,87193,88076,88086,88091,88114,88174,88175,88191,89002,89008,89082,89128,89903,90030,90048,91061,91075,92008,92016,92041,92082,92162,92175,93012,93042,93050,93107,93147,93162,94090,94135,95016,95054,95077,95107,95203,96036,96067,96143,96146,96154,97034,97065,97097,97122,97156,98032,98053,98055,99142,99235,100034,100081,100086,100102,100105,100125,100175,100180,100235,101001,101007,101022,101068,101069,101101,101205,101206,102025,102030,102052,102059,102076,102156,102163,102191,102199,102200,103108,103113,103189,103194,103707,103708,103709,103714,103715,103719,104001,104908
20150101,0,0,14,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,15,0,0,0,0,0,0,0,0,0,19,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,5,0,0,0,0,0,11,0,0,0,0,37,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0
20150102,8,0,25,7,188,0,54,11,0,7,0,0,0,1,0,11,0,0,0,18,30,31,10,0,6,0,7,58,2,26,16,0,0,26,0,0,0,0,9,0,0,0,0,9,3,27,10,0,1,0,0,1,0,0,4,11,0,0,12,0,0,0,0,9,0,0,4,0,0,28,13,21,0,0,0,0,6,0,0,14,0,44,0,0,0,0,7,0,0,9,0,0,69,43,0,0,0,0,18,3,0,1,14,0,0,0,0,0,0,0,0,0
20150103,17,0,23,0,8,2,27,0,0,2,0,0,0,0,0,6,0,0,0,0,15,12,23,0,2,0,22,4,0,5,18,0,0,30,0,0,0,0,0,0,0,0,0,0,3,18,0,0,3,0,0,0,0,0,0,2,19,0,2,0,29,79,0,5,0,0,20,0,0,0,0,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150104,0,0,0,0,2,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,1,0,61,0,0,0,0,30,0,4,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150105,0,0,119,8,12,15,40,22,0,0,6,0,0,1,0,9,8,0,0,0,46,18,26,2,6,0,3,21,7,0,6,0,0,10,0,0,0,16,0,0,26,9,21,0,0,31,10,5,14,6,0,10,0,0,0,10,45,0,8,0,0,26,5,5,18,0,2,0,6,51,21,5,0,0,0,9,8,3,6,0,0,0,0,0,0,0,0,0,6,0,9,0,83,48,0,0,18,0,0,0,4,15,18,0,0,0,0,0,0,0,0,0
20150106,8,0,14,0,48,13,50,22,0,5,9,76,35,9,0,12,25,0,9,0,13,1,0,19,7,0,2,34,0,0,3,0,0,0,0,0,0,0,0,0,5,13,5,0,4,9,14,4,6,41,0,6,0,0,0,2,97,0,10,0,0,0,0,2,0,0,3,0,0,19,21,9,16,0,0,3,24,0,0,7,0,0,0,0,5,34,0,0,1,59,55,0,37,52,0,0,13,0,0,0,0,4,7,0,0,1,1,0,0,0,0,0
20150107,8,0,0,11,10,0,18,23,0,8,3,20,37,0,4,0,0,0,9,15,22,10,31,17,4,0,2,19,8,0,3,0,2,0,0,0,0,0,0,0,18,4,0,0,0,12,0,0,12,7,0,4,0,2,1,29,0,0,0,5,0,0,0,4,28,0,15,0,0,40,16,17,26,4,2,13,16,0,9,16,0,22,36,0,4,0,10,0,6,0,3,0,29,36,0,0,17,0,0,0,0,5,40,0,1,1,11,0,0,22,0,0
20150108,3,0,0,5,57,0,7,5,0,0,0,63,67,0,2,8,0,0,0,14,17,4,10,20,16,0,15,0,1,8,0,0,0,0,0,10,0,0,0,0,13,0,13,0,0,10,9,0,0,57,0,2,19,0,0,23,0,0,0,0,0,42,0,4,0,0,0,0,0,0,10,4,0,0,18,35,0,1,0,25,0,29,0,0,0,0,0,0,5,63,9,98,59,16,0,0,0,0,11,0,0,2,27,0,12,7,7,0,0,4,3,0
20150109,17,0,0,6,42,2,14,25,0,0,8,8,0,3,0,0,0,0,0,16,35,2,23,6,7,0,11,12,1,17,62,0,0,76,0,1,0,0,16,2,0,12,0,8,0,2,0,0,16,13,0,1,25,0,2,31,22,0,0,0,0,27,0,2,38,0,0,0,6,13,10,11,10,12,12,9,0,0,0,15,0,10,0,0,0,0,0,0,0,0,18,12,39,16,0,0,14,0,0,0,0,29,25,0,12,0,34,0,0,11,0,0
