100175 ,201501,20150111,,2
100175 ,201501,20150112,,4
100175 ,201501,20150113,,14
100175 ,201501,20150114,2,10
100175 ,201501,20150115,2,28
100175 ,201501,20150116,,7
100175 ,201501,20150117,,1
100175 ,201501,20150118,,5
100175 ,201501,20150119,1,4
100175 ,201501,20150120,,2
100175 ,201501,20150121,2,11
100175 ,201501,20150122,3,29
100175 ,201501,20150126,,1
100175 ,201501,20150127,,7
100175 ,201501,20150128,1,5
100175 ,201501,20150130,,8
100175 ,201501,20150131,,1
100175 ,201502,20150204,4,14
100175 ,201502,20150205,3,16
100175 ,201502,20150206,3,22
100175 ,201502,20150208,,1
100175 ,201502,20150209,1,2
100175 ,201502,20150210,3,14
100175 ,201502,20150211,2,11
100175 ,201502,20150212,2,17
100175 ,201502,20150213,2,16
100175 ,201502,20150214,2,7
100175 ,201502,20150215,,4
100175 ,201502,20150216,4,9
100175 ,201502,20150217,2,14
100175 ,201502,20150222,,1
100175 ,201502,20150224,2,15
100175 ,201502,20150225,4,16
100175 ,201502,20150226,4,18
100175 ,201502,20150227,2,16
100175 ,201502,20150228,1,8
100175 ,201503,20150301,1,1
100175 ,201503,20150302,,2
100175 ,201503,20150303,1,8
100175 ,201503,20150304,7,27
100175 ,201503,20150305,5,19
100175 ,201503,20150306,,3
100175 ,201503,20150308,,4
100180 ,201501,20150115,1,16
100180 ,201501,20150122,,35
100180 ,201501,20150128,,12
100180 ,201501,20150129,,10
100180 ,201502,20150206,,24
100180 ,201502,20150220,,11
100180 ,201502,20150221,1,29
100235 ,201501,20150101,5,37
100235 ,201501,20150102,4,44
100235 ,201501,20150107,1,22
100235 ,201501,20150108,2,29
100235 ,201501,20150109,1,10
100235 ,201501,20150111,7,64
100235 ,201501,20150112,,28
100235 ,201501,20150113,1,10
100235 ,201501,20150115,6,70
100235 ,201501,20150116,3,43
100235 ,201501,20150117,3,40
100235 ,201501,20150118,11,106
100235 ,201501,20150120,2,19
100235 ,201501,20150121,3,17
100235 ,201501,20150128,7,99
100235 ,201501,20150129,9,123
100235 ,201501,20150130,1,35
100235 ,201502,20150201,2,16
100235 ,201502,20150202,11,87
100235 ,201502,20150203,,3
100235 ,201502,20150205,,8
100235 ,201502,20150211,5,77
100235 ,201502,20150212,1,13
100235 ,201502,20150213,6,54
100235 ,201502,20150215,5,54
100235 ,201502,20150220,2,17
100235 ,201502,20150221,13,125
100235 ,201502,20150222,1,25
100235 ,201502,20150225,2,15
100235 ,201502,20150226,8,73
100235 ,201502,20150227,6,59
100235 ,201502,20150228,1,12
100235 ,201503,20150301,,10
100235 ,201503,20150302,,10
100235 ,201503,20150303,7,51
100235 ,201503,20150305,1,4
100235 ,201503,20150306,2,27
100235 ,201503,20150307,1,7
100235 ,201503,20150308,,2
101001 ,201501,20150107,,36
101001 ,201501,20150112,,24
101001 ,201501,20150114,,12
101001 ,201501,20150115,,24
101001 ,201501,20150120,,2
101001 ,201501,20150126,,6
101001 ,201501,20150128,,12
101001 ,201502,20150212,,7
101001 ,201502,20150216,,24
101001 ,201502,20150218,,12
101001 ,201502,20150223,,1
101001 ,201502,20150226,,13
101007 ,201501,20150112,5,8
101007 ,201501,20150119,1,4
101007 ,201501,20150122,1,5
101007 ,201501,20150126,2,5
101007 ,201502,20150209,7,25
101007 ,201502,20150212,1,4
101007 ,201502,20150218,,2
101007 ,201502,20150222,3,7
101007 ,201502,20150223,5,9
101007 ,201503,20150302,12,24
101022 ,201501,20150106,,5
101022 ,201501,20150107,,4
101022 ,201501,20150112,,9
101022 ,201501,20150120,,4
101022 ,201502,20150202,,8
101022 ,201502,20150204,,3
101022 ,201502,20150210,1,5
101022 ,201502,20150212,1,6
101022 ,201502,20150214,,1
101022 ,201502,20150224,,3
101022 ,201502,20150226,,4
101022 ,201503,20150302,,4
101022 ,201503,20150303,,4
101068 ,201501,20150106,,34
101068 ,201501,20150122,,16
101068 ,201502,20150219,,6
101069 ,201501,20150101,,2
101069 ,201501,20150102,,7
101069 ,201501,20150107,,10
101069 ,201501,20150112,,21
101069 ,201501,20150114,,2
101069 ,201501,20150115,,2
101069 ,201501,20150117,,4
101069 ,201501,20150121,,8
101069 ,201501,20150123,,6
101069 ,201501,20150126,,14
101069 ,201501,20150128,,2
101069 ,201501,20150130,,8
101069 ,201501,20150131,,7
101069 ,201502,20150201,,1
101069 ,201502,20150202,,11
101069 ,201502,20150204,,9
101069 ,201502,20150207,,6
101069 ,201502,20150210,,1
101069 ,201502,20150211,,2
101069 ,201502,20150213,,3
101069 ,201502,20150214,,2
101069 ,201502,20150215,,1
101069 ,201502,20150216,,5
101069 ,201502,20150223,,9
101069 ,201502,20150224,,15
101069 ,201502,20150225,,15
101069 ,201502,20150226,,1
101069 ,201502,20150227,,5
101069 ,201502,20150228,,7
101069 ,201503,20150301,,1
101069 ,201503,20150303,,3
101069 ,201503,20150306,,7
101101 ,201501,20150113,,5
101101 ,201501,20150114,,4
101101 ,201501,20150115,,4
101101 ,201501,20150119,,4
101101 ,201501,20150121,,9
101101 ,201501,20150122,,6
101101 ,201501,20150124,,8
101101 ,201501,20150125,,4
101101 ,201501,20150127,,1
101101 ,201502,20150210,,10
101101 ,201502,20150213,,11
101101 ,201502,20150214,,8
101101 ,201502,20150216,,5
101101 ,201502,20150224,,5
101101 ,201503,20150308,,11
101205 ,201501,20150101,,2
101205 ,201501,20150105,,6
101205 ,201501,20150106,,1
101205 ,201501,20150107,,6
101205 ,201501,20150108,,5
101205 ,201501,20150113,,4
101205 ,201501,20150114,,5
101205 ,201501,20150115,,1
101205 ,201501,20150119,,6
101205 ,201501,20150123,,6
101205 ,201501,20150127,1,1
101205 ,201502,20150210,,3
101205 ,201502,20150224,1,1
101206 ,201501,20150102,,9
101206 ,201501,20150106,,59
101206 ,201501,20150108,,63
101206 ,201501,20150111,,9
101206 ,201501,20150116,,9
101206 ,201501,20150120,,49
101206 ,201501,20150127,,45
101206 ,201501,20150129,,23
101206 ,201502,20150203,,9
101206 ,201502,20150210,,11
101206 ,201502,20150212,,32
101206 ,201502,20150213,,37
101206 ,201502,20150218,,13
101206 ,201502,20150224,,39
101206 ,201502,20150227,,11
101206 ,201503,20150306,,11
102025 ,201501,20150105,,9
102025 ,201501,20150106,,55
102025 ,201501,20150107,,3
102025 ,201501,20150108,,9
102025 ,201501,20150109,,18
102025 ,201501,20150113,,45
102025 ,201501,20150114,,29
102025 ,201501,20150115,,18
102025 ,201501,20150116,,9
102025 ,201501,20150120,,18
102025 ,201501,20150122,,9
102025 ,201501,20150123,,11
102025 ,201501,20150126,,12
102025 ,201501,20150127,,27
102025 ,201501,20150128,,10
102025 ,201501,20150130,,18
102025 ,201502,20150203,,54
102025 ,201502,20150205,,26
102025 ,201502,20150206,2,31
102025 ,201502,20150207,2,6
102025 ,201502,20150208,1,1
102025 ,201502,20150210,4,16
102025 ,201502,20150213,6,17
102025 ,201502,20150214,4,18
102025 ,201502,20150215,,1
102025 ,201502,20150216,2,4
102025 ,201502,20150224,6,24
102025 ,201502,20150225,2,8
102025 ,201502,20150226,2,9
102025 ,201502,20150228,6,11
102025 ,201503,20150303,2,8
102025 ,201503,20150304,2,2
102025 ,201503,20150305,4,16
102025 ,201503,20150306,2,16
102025 ,201503,20150307,1,1
102025 ,201503,20150308,2,2
102030 ,201501,20150108,1,98
102030 ,201501,20150109,,12
102030 ,201501,20150115,3,74
102030 ,201501,20150116,,16
102030 ,201501,20150119,,1
102030 ,201501,20150121,,2
102030 ,201501,20150128,,11
